RA	DEC	MAG	DIST	B-V
20.82731569	-66.17273383	10.02	40.18	1.003
20.83814154	-57.48065865	8.67	49.29	0.705
20.85673686	-76.61173200	8.51	48.24	0.656
20.96176069	17.81844369	6.68	48.97	0.403
21.00604671	-8.18275372	3.78	35.11	1.065
21.05079037	-31.81177683	6.98	49.98	0.569
21.06819527	12.90775202	9.66	33.78	1.020
21.08535375	-6.91466853	6.01	44.78	0.407
21.09299881	-44.13542367	12.15	32.71	0.000
21.11600570	39.06213484	8.53	31.48	0.784
21.20414696	-27.83837476	8.43	40.40	0.684
21.22336474	18.50039482	8.65	33.07	0.912
21.25687634	-32.85148015	9.85	26.36	1.420
21.29000636	-1.05897236	9.61	36.34	1.026
21.30145418	28.56707875	7.25	44.15	0.577
21.33361136	1.46100409	7.52	39.45	0.675
21.36848944	12.15619476	10.44	45.35	1.060
21.45251267	60.23540347	2.71	30.48	0.160
21.48385548	-47.89856863	7.97	38.54	0.750
21.53590855	34.57990693	6.45	38.26	0.500
21.55721808	13.81647710	12.08	47.06	1.365
21.56366085	19.17232096	5.44	26.08	0.395
21.57749566	43.45788606	6.09	41.31	0.520
21.70511682	-29.47450648	8.55	40.80	0.725
21.71481835	-13.05653391	5.59	36.30	0.321
21.75571899	-0.15671666	8.10	29.77	0.738
21.77589490	34.37757818	6.37	42.64	0.453
21.86346004	-25.93656338	9.28	41.43	0.860
21.86457938	23.24458807	9.95	37.86	1.157
21.91285470	45.40695287	4.92	28.30	0.421
22.03566055	-52.63854657	9.50	37.15	0.951
22.07964796	30.55784315	7.01	44.40	0.505
22.14299164	42.26792878	6.77	34.18	0.505
22.18472201	31.61107515	9.43	41.39	1.000
22.25518267	86.93306587	8.54	41.72	0.708
22.26920867	21.72361547	7.88	23.17	0.966
22.35975641	42.28205058	7.29	45.37	0.453
22.45285280	23.69056180	7.74	46.17	0.556
22.46337870	31.00733300	8.06	42.74	0.710
22.60409150	-29.25940999	9.55	34.89	0.863
22.68508687	50.66602835	8.82	47.55	0.734
22.74538030	-48.87079578	10.30	39.37	1.173
22.79590568	-9.31206378	8.28	45.11	0.630
22.80632718	70.26478860	5.93	29.25	0.489
22.81242306	-49.07307701	4.10	45.15	0.972
22.83085664	29.41330395	7.45	43.14	0.622
23.06752454	-18.56603662	8.59	45.31	0.679
23.11071865	-21.90296705	11.23	17.72	1.492
23.13664908	-49.52800433	7.84	48.80	0.641
23.28823888	-24.91381749	10.12	34.86	1.172
23.31514505	-24.17757411	7.11	19.50	0.766
23.32927984	23.97550045	7.77	33.19	0.666
23.36052550	-43.90141420	7.98	35.42	0.815
23.42805448	-7.02514279	5.89	29.66	0.639
23.47211684	27.23627661	11.15	46.23	1.200
23.48011335	-55.52314222	10.00	44.72	1.072
23.49549041	-10.42386319	10.12	48.24	0.958
23.60301743	65.96378751	10.84	40.85	1.170
23.62796487	78.06271016	10.82	34.84	1.210
23.64116285	68.94785738	6.65	20.99	0.686
23.66610182	82.84854834	9.18	31.27	0.961
23.70309634	0.94542483	7.02	36.68	0.531
23.74216541	33.11818983	6.88	47.82	0.634
23.75398479	-29.91056753	7.25	23.65	0.909
23.81128987	-58.13939438	6.12	40.45	0.382
23.82904296	10.27850061	12.39	28.28	1.436
23.83701944	-21.20091563	8.90	34.93	0.780
23.85901886	-13.38112035	7.30	36.55	0.593
23.90649977	42.03933665	11.12	41.91	1.283
23.91758265	-50.26180113	10.57	48.85	1.336
23.91976291	-65.29353386	8.97	48.88	0.761
23.92425950	-55.23844148	7.97	48.03	0.556
23.96083226	-39.94700724	6.53	37.68	0.415
23.97042741	-17.53197680	7.29	42.92	0.712
24.04220085	-29.39235687	8.97	47.13	0.761
24.16399501	21.56310778	9.40	32.52	1.104
24.19990413	41.40638491	4.21	13.47	0.536
24.27483902	12.14151058	5.63	33.81	0.347
24.28515039	-29.39309256	8.28	33.65	0.830
24.33490489	-49.19594129	10.47	21.84	1.416
24.35512689	25.16827394	7.15	42.02	0.900
24.39735704	-6.76018613	7.80	23.61	0.797
24.40648858	-9.40405165	6.35	38.24	0.528
24.42002999	12.07836601	6.90	25.73	0.648
24.42813204	-57.23666007	0.42	44.09	-0.158
24.47330813	-60.51154249	7.46	39.39	0.629
24.47908355	-82.97528876	6.01	27.13	0.620
24.55843066	17.82981045	9.54	48.90	0.810
24.59919414	29.56741916	8.80	38.02	0.848
24.62349663	0.65118329	11.62	18.89	1.496
24.64021928	44.59018534	10.87	34.86	1.101
24.69424288	63.71664650	8.86	49.02	0.870
24.74031300	-27.25222274	9.51	38.73	0.794
24.78136774	-56.42929868	7.18	49.09	0.466
24.89851037	28.11067481	7.88	34.00	0.733
24.89931748	45.87832743	6.74	21.40	0.690
24.92397410	-46.50973508	10.00	40.13	1.151
24.92607729	65.16003065	8.67	44.29	0.773
24.93923850	73.70925656	9.97	27.23	1.148
24.94684603	-56.19644067	5.90	8.15	0.880
24.97691301	-9.97245897	7.98	47.26	0.607
24.98327133	15.25944524	8.81	16.31	0.000
25.01999120	-13.91083122	12.00	39.56	1.461
25.07446659	1.85604841	10.31	33.43	1.170
25.09301386	-10.44436411	9.27	49.98	0.695
25.14278843	-30.72760404	11.60	41.49	1.607
25.15145606	-36.48323827	8.06	35.35	0.714
25.18321792	-49.23205869	10.27	29.74	1.223
25.18359700	15.61951818	9.07	41.36	0.905
25.26538395	-43.63559301	11.76	42.19	1.408
25.27808138	3.71363494	8.23	42.14	0.735
25.36368452	-38.13296410	6.29	41.89	0.404
25.40291709	66.91058850	7.84	36.66	0.691
25.43665870	-11.32366816	5.85	37.27	0.443
25.44381547	42.61380692	5.08	12.64	0.618
25.48778355	17.05811015	10.47	46.73	1.160
25.52543359	69.08601991	7.66	47.44	0.586
25.56072752	-17.88883494	7.58	48.90	0.617
25.62146258	-53.74057470	5.64	17.35	0.551
25.62479083	20.27015091	5.39	7.47	0.836
25.65412355	-58.41305650	8.54	44.27	0.714
